OBJECTNUMMER;Soort;Prijs_per_gebruik;Dagen_geopend;Openingstijden;Omschrijving;Foto;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
288;"Openbaar toilet, toegankelijk voor mindervaliden (m/v)";0.50;"di - do - ma - vr - wo - za - zo";"24 uur per dag";"Sarphatipark.";"";"TOEGANG";"POINT(4.8948653,52.3541525)";"POINT(52.3541525,4.8948653)";4.8948653;52.3541525;
289;"Gewenst toilet";0;"";"";"Sloterstrand";"";"GEWENST";"POINT(4.8227315,52.3717674)";"POINT(52.3717674,4.8227315)";4.8227315;52.3717674;
290;"Amsterdamse krul (m), verdwenen";0;"";"";"";"";"VERDWENEN";"POINT(4.9248414,52.3600938)";"POINT(52.3600938,4.9248414)";4.9248414;52.3600938;
292;"Amsterdamse krul (m)";0;"";"24 uur";"Haarlemmerplein";"haarlememerplein.JPG";"KRUL";"POINT(4.8836823,52.3843261)";"POINT(52.3843261,4.8836823)";4.8836823;52.3843261;
293;"Amsterdamse krul (m)";0;"";"24 uur";"Dorpsweg Ransdorp naast bushalte kerk";"ransdorp.JPG";"KRUL";"POINT(4.9939308,52.3932058)";"POINT(52.3932058,4.9939308)";4.9939308;52.3932058;
294;"Amsterdamse krul (m)";0;"";"24 uur";"Dorpsstraat Holysloot - naast bushalte Kerk";"holysloot.JPG";"KRUL";"POINT(5.0251417,52.4132136)";"POINT(52.4132136,5.0251417)";5.0251417;52.4132136;
295;"Amsterdamse krul (m)";0;"";"24";"Wijkergouw / Schellingwoude Kerk";"WijkergouwKerkSchellingwoude.JPG";"KRUL";"POINT(4.9651542,52.383637)";"POINT(52.383637,4.9651542)";4.9651542;52.383637;
296;"Overig urinoir (m)";0;"";"24 uur";"Beemesterstraat / IJdoornlaan";"IJDoornlaan_Beemsterstraat.JPG";"OVERIG";"POINT(4.951281,52.3972997)";"POINT(52.3972997,4.951281)";4.951281;52.3972997;
298;"Amsterdamse krul (m)";0;"";"24 uur";"Nieuwe Keizersgracht / Weesperstraat";"IMG_8813.jpg";"KRUL";"POINT(4.9051671,52.3652578)";"POINT(52.3652578,4.9051671)";4.9051671;52.3652578;
299;"Amsterdamse krul (m)";0;"";"24 uur";"Nieuwe Achtergracht / Roetersstraat";"nieuweprinsengrachtRoetersstraat.jpg";"KRUL";"POINT(4.9108828,52.3632137)";"POINT(52.3632137,4.9108828)";4.9108828;52.3632137;
300;"Amsterdamse krul (m)";0;"";"24 uur";"Nieuwmarkt / Geldersekade";"geldersekadeNieuwmarkt.jpg";"KRUL";"POINT(4.900597,52.3732518)";"POINT(52.3732518,4.900597)";4.900597;52.3732518;
301;"Amsterdamse krul (m), verdwenen";0;"";"";"";"";"VERDWENEN";"POINT(4.9042822,52.3750072)";"POINT(52.3750072,4.9042822)";4.9042822;52.3750072;
302;"Amsterdamse krul (m), verdwenen";0;"";"";"";"";"VERDWENEN";"POINT(4.848505,52.3469737)";"POINT(52.3469737,4.848505)";4.848505;52.3469737;
303;"Amsterdamse krul (m), verdwenen";0;"";"";"";"";"VERDWENEN";"POINT(4.9073329,52.3612112)";"POINT(52.3612112,4.9073329)";4.9073329;52.3612112;
304;"Amsterdamse krul (m), verdwenen";0;"";"";"";"";"VERDWENEN";"POINT(4.8500251,52.3730986)";"POINT(52.3730986,4.8500251)";4.8500251;52.3730986;
305;"Toilet in parkeergarage (m/v)";0.50;"di - do - ma - vr - wo - za - zo";"24 uur per dag ";"P+R Zeeburg";"P en R Zeeburg.jpg";"PARKEER";"POINT(4.9593508,52.3721005)";"POINT(52.3721005,4.9593508)";4.9593508;52.3721005;
308;"Onzeker";0;"";"";"toilet in voorbereiding, projectleider Roy van Gelder";"";"ONZEKER";"POINT(4.8775363,52.3689438)";"POINT(52.3689438,4.8775363)";4.8775363;52.3689438;
309;"Onzeker";0;"";"";"toilet in voorbereiding, projectleider Roy van Gelder";"";"ONZEKER";"POINT(4.8957968,52.3660286)";"POINT(52.3660286,4.8957968)";4.8957968;52.3660286;
310;"Openbaar toilet, toegankelijk voor mindervaliden (m/v)";0;"di - do - ma - vr - wo";"Alle werkdagen geopend van 08:00 tot 18:00 uur en op donderdagen tot 20:00 uur.";"Stadsloket";"images4.persgroep.net.jpg";"TOEGANG";"POINT(4.9008357,52.3678764)";"POINT(52.3678764,4.9008357)";4.9008357;52.3678764;
311;"Openbaar toilet, toegankelijk voor mindervaliden (m/v)";0;"";"Alle werkdagen geopend van 08:00 tot 18:00 uur en op donderdagen tot 20:00 uur.";"Stadsloket";"25473-160906-stadsloket-stadsdeel-noord_AN-6396.jpg";"TOEGANG";"POINT(4.9330607,52.4010499)";"POINT(52.4010499,4.9330607)";4.9330607;52.4010499;
312;"Openbaar toilet, toegankelijk voor mindervaliden (m/v)";0;"di - do - ma - vr - wo";"Alle werkdagen geopend van 08:00 tot 18:00 uur en op donderdagen tot 20:00 uur.";"Stadsloket";"stadsloket-langer-open-1-300x194.jpg";"TOEGANG";"POINT(4.9308982,52.356714)";"POINT(52.356714,4.9308982)";4.9308982;52.356714;
313;"Openbaar toilet, toegankelijk voor mindervaliden (m/v)";0;"di - do - ma - vr - wo";"Alle werkdagen geopend van 08:00 tot 18:00 uur en op donderdagen tot 20:00 uur.";"Stadsloket";"28878-170307-stadsloket-stadsdeel-zuid_an-0002.jpg";"TOEGANG";"POINT(4.8938627,52.3404487)";"POINT(52.3404487,4.8938627)";4.8938627;52.3404487;
314;"Openbaar toilet, toegankelijk voor mindervaliden (m/v)";0;"di - do - ma - vr - wo";"Alle werkdagen geopend van 08:00 tot 18:00 uur en op donderdagen tot 20:00 uur.";"Stadsloket";"24882-stadsloket_west_01_23aug2016_e_v_eis.jpg";"TOEGANG";"POINT(4.8451956,52.3781553)";"POINT(52.3781553,4.8451956)";4.8451956;52.3781553;
315;"Openbaar toilet, toegankelijk voor mindervaliden (m/v)";0;"di - do - ma - vr - wo";"Alle werkdagen geopend van 08:00 tot 18:00 uur en op donderdagen tot 20:00 uur.";"Stadsloket";"2048x1152.jpg";"TOEGANG";"POINT(4.8066214,52.3577338)";"POINT(52.3577338,4.8066214)";4.8066214;52.3577338;
316;"Openbaar toilet, toegankelijk voor mindervaliden (m/v)";0;"";"Alle werkdagen geopend van 08:00 tot 18:00 uur en op donderdagen tot 20:00 uur.";"Stadskantoor";"24813-10_stadsloket-zo_16aug2016_e_v_eis1.jpg";"TOEGANG";"POINT(4.9565118,52.3161746)";"POINT(52.3161746,4.9565118)";4.9565118;52.3161746;
317;"Openbaar toilet (m/v)";0;"di - do - ma - vr - wo - za - zo";"Tijdelijk niet alleen op uitgaansavonden, maar ook overdag beschikbaar vanwege coronamaatregelen";"";"PaleisstraatAchterkantDAm.jpg";"OPENBAAR";"POINT(4.8908504,52.3727348)";"POINT(52.3727348,4.8908504)";4.8908504;52.3727348;
319;"Openbaar toilet (m/v)";0;"";"openingstijden van de kinderboerderij gesloten van november - januari februari - maart: 10 -17 uur april - oktober: 10 -18 uur alle dagen open tijdens de schoolvakanties";"";"";"OPENBAAR";"POINT(4.8953087,52.3332851)";"POINT(52.3332851,4.8953087)";4.8953087;52.3332851;
320;"Openbaar toilet (m/v)";0;"";"";"";"";"OPENBAAR";"POINT(4.8933803,52.3294956)";"POINT(52.3294956,4.8933803)";4.8933803;52.3294956;
321;"Gewenst toilet";0;"";"";"vast toilet MVG";"";"GEWENST";"POINT(4.8916476,52.3582183)";"POINT(52.3582183,4.8916476)";4.8916476;52.3582183;
322;"Gewenst toilet";0;"";"";"MVG";"";"GEWENST";"POINT(4.8996682,52.3580271)";"POINT(52.3580271,4.8996682)";4.8996682;52.3580271;
323;"Gewenst toilet";0;"";"";"seizoens (zomermaanden) toiletvoorziening MVG";"";"GEWENST";"POINT(4.8754858,52.3287147)";"POINT(52.3287147,4.8754858)";4.8754858;52.3287147;
324;"Gewenst toilet";0;"";"";"Vaste MVG seizoensgebonden (zomermaanden) MVG";"";"GEWENST";"POINT(4.8936053,52.3244573)";"POINT(52.3244573,4.8936053)";4.8936053;52.3244573;
325;"Seizoen (m/v)";0;"";"";"seizoenstoilet";"";"SEIZOEN";"POINT(4.9337481,52.377319)";"POINT(52.377319,4.9337481)";4.9337481;52.377319;
326;"Gewenst toilet";0;"";"";"seizoens(zomermaanden) MGV toilet";"";"GEWENST";"POINT(4.9156525,52.3400546)";"POINT(52.3400546,4.9156525)";4.9156525;52.3400546;
327;"Gewenst toilet";0;"";"";"vaste MVG";"";"GEWENST";"POINT(4.9304302,52.3521919)";"POINT(52.3521919,4.9304302)";4.9304302;52.3521919;
328;"Gewenst toilet";0;"";"";"MVG toilet";"";"GEWENST";"POINT(4.9334718,52.3511565)";"POINT(52.3511565,4.9334718)";4.9334718;52.3511565;
329;"Gewenst toilet";0;"";"MVG toilet";"";"";"GEWENST";"POINT(4.9488187,52.3626226)";"POINT(52.3626226,4.9488187)";4.9488187;52.3626226;
330;"Gewenst toilet";0;"";"";"MVG of seizoens ";"";"GEWENST";"POINT(4.9212195,52.3615747)";"POINT(52.3615747,4.9212195)";4.9212195;52.3615747;
331;"Gewenst toilet";0;"";"";"seizoenstoilet";"";"GEWENST";"POINT(4.9120874,52.3499717)";"POINT(52.3499717,4.9120874)";4.9120874;52.3499717;
332;"Gewenst toilet";0;"";"";"seizoens(zomer)";"";"GEWENST";"POINT(4.9860804,52.3543913)";"POINT(52.3543913,4.9860804)";4.9860804;52.3543913;
333;"Gewenst toilet";0;"";"";"wachtende reizigers Flix Bus";"";"GEWENST";"POINT(4.8385182,52.389529)";"POINT(52.389529,4.8385182)";4.8385182;52.389529;
334;"Gewenst toilet";0;"";"";"MVG vasttoilet";"";"GEWENST";"POINT(4.7990103,52.3556561)";"POINT(52.3556561,4.7990103)";4.7990103;52.3556561;
335;"Gewenst toilet";0;"";"";"alleen bij evenementen ";"";"GEWENST";"POINT(4.9442056,52.3126901)";"POINT(52.3126901,4.9442056)";4.9442056;52.3126901;
336;"Gewenst toilet";0;"";"";"alleen bij evenementen ";"";"GEWENST";"POINT(4.9424675,52.3154186)";"POINT(52.3154186,4.9424675)";4.9424675;52.3154186;
337;"Gewenst toilet";0;"";"";"alleen bij evenementen ";"";"GEWENST";"POINT(4.940944,52.3130902)";"POINT(52.3130902,4.940944)";4.940944;52.3130902;
338;"Gewenst toilet";0;"";"";"alleen bij evenementen ";"";"GEWENST";"POINT(4.9428001,52.3132804)";"POINT(52.3132804,4.9428001)";4.9428001;52.3132804;
339;"Gewenst toilet";0;"";"";"alleen bij evenementen ";"";"GEWENST";"POINT(4.9390772,52.3146447)";"POINT(52.3146447,4.9390772)";4.9390772;52.3146447;
340;"Gewenst toilet";0;"";"";"MVG, in combi met metro station";"";"GEWENST";"POINT(4.9594337,52.2981125)";"POINT(52.2981125,4.9594337)";4.9594337;52.2981125;
341;"Gewenst toilet";0;"";"";"vast MVG in combi metrostation";"";"GEWENST";"POINT(4.9892454,52.2960515)";"POINT(52.2960515,4.9892454)";4.9892454;52.2960515;
342;"Gewenst toilet";0;"";"";"vast MVG";"";"GEWENST";"POINT(4.9838282,52.3114529)";"POINT(52.3114529,4.9838282)";4.9838282;52.3114529;
343;"Gewenst toilet";0;"";"";"vast MVG";"";"GEWENST";"POINT(4.9940527,52.3090094)";"POINT(52.3090094,4.9940527)";4.9940527;52.3090094;
346;"Gewenst toilet";0;"";"";"Vast MVG";"";"GEWENST";"POINT(4.9699123,52.3220397)";"POINT(52.3220397,4.9699123)";4.9699123;52.3220397;
347;"Gewenst toilet";0;"";"";"urilift";"";"GEWENST";"POINT(4.8932145,52.3757506)";"POINT(52.3757506,4.8932145)";4.8932145;52.3757506;
348;"Gewenst toilet";0;"";"";"vast MVG";"";"GEWENST";"POINT(4.89321,52.3720475)";"POINT(52.3720475,4.89321)";4.89321;52.3720475;
349;"Gewenst toilet";0;"";"";"vast toilet MVG";"";"GEWENST";"POINT(4.9080954,52.361644)";"POINT(52.361644,4.9080954)";4.9080954;52.361644;
350;"Gewenst toilet";0;"";"";"MVG";"";"GEWENST";"POINT(4.8990241,52.3765623)";"POINT(52.3765623,4.8990241)";4.8990241;52.3765623;
351;"Gewenst toilet";0;"";"";"MVG";"";"GEWENST";"POINT(4.8971778,52.3754679)";"POINT(52.3754679,4.8971778)";4.8971778;52.3754679;
352;"Gewenst toilet";0;"";"";"vaste MVG";"";"GEWENST";"POINT(4.8967202,52.372717)";"POINT(52.372717,4.8967202)";4.8967202;52.372717;
353;"Gewenst toilet";0;"";"";"MVG";"";"GEWENST";"POINT(4.8958402,52.3718686)";"POINT(52.3718686,4.8958402)";4.8958402;52.3718686;
354;"Gewenst toilet";0;"";"";"MVG";"";"GEWENST";"POINT(4.8957865,52.3718031)";"POINT(52.3718031,4.8957865)";4.8957865;52.3718031;
355;"Gewenst toilet";0;"";"";"MVG";"";"GEWENST";"POINT(4.9000325,52.3726756)";"POINT(52.3726756,4.9000325)";4.9000325;52.3726756;
356;"Gewenst toilet";0;"";"";"greenpee";"";"GEWENST";"POINT(4.8961232,52.3746274)";"POINT(52.3746274,4.8961232)";4.8961232;52.3746274;
357;"Onzeker";0;"";"";"Greenpee";"";"ONZEKER";"POINT(4.895194,52.3732358)";"POINT(52.3732358,4.895194)";4.895194;52.3732358;
358;"Gewenst toilet";0;"";"";"MVG";"";"GEWENST";"POINT(4.9010647,52.3742488)";"POINT(52.3742488,4.9010647)";4.9010647;52.3742488;
359;"Gewenst toilet";0;"";"";"greenpee";"";"GEWENST";"POINT(4.897085,52.3737709)";"POINT(52.3737709,4.897085)";4.897085;52.3737709;
360;"Gewenst toilet";0;"";"";"greenpee";"";"GEWENST";"POINT(4.8980951,52.3716461)";"POINT(52.3716461,4.8980951)";4.8980951;52.3716461;
361;"Gewenst toilet";0;"";"";"greenpee";"";"GEWENST";"POINT(4.9002103,52.3753186)";"POINT(52.3753186,4.9002103)";4.9002103;52.3753186;
362;"Gewenst toilet";0;"";"";"MVG";"";"GEWENST";"POINT(4.9364441,52.3236132)";"POINT(52.3236132,4.9364441)";4.9364441;52.3236132;
364;"Onzeker";0;"";"";"mvg";"";"ONZEKER";"POINT(4.9109391,52.340439)";"POINT(52.340439,4.9109391)";4.9109391;52.340439;
365;"Gewenst toilet";0;"";"";"vaste MVG";"";"GEWENST";"POINT(4.8841641,52.3431376)";"POINT(52.3431376,4.8841641)";4.8841641;52.3431376;
366;"Gewenst toilet";0;"";"";"beter oplossing voor bezoekers";"";"GEWENST";"POINT(4.8504175,52.3442333)";"POINT(52.3442333,4.8504175)";4.8504175;52.3442333;
367;"Gewenst toilet";0;"";"";"brug wordt als openbaar toiletgebruikt. vaste MVG";"";"GEWENST";"POINT(4.8763367,52.3448346)";"POINT(52.3448346,4.8763367)";4.8763367;52.3448346;
368;"Gewenst toilet";0;"";"";"vaste MVG";"";"GEWENST";"POINT(4.8808441,52.3576401)";"POINT(52.3576401,4.8808441)";4.8808441;52.3576401;
369;"Gewenst toilet";0;"";"";"";"";"GEWENST";"POINT(4.8860241,52.3833224)";"POINT(52.3833224,4.8860241)";4.8860241;52.3833224;
371;"Gewenst toilet";0;"";"";"greenpee";"";"GEWENST";"POINT(4.8951356,52.373858)";"POINT(52.373858,4.8951356)";4.8951356;52.373858;
372;"Gewenst toilet";0;"";"";"greenpee";"";"GEWENST";"POINT(4.8952719,52.3731607)";"POINT(52.3731607,4.8952719)";4.8952719;52.3731607;
373;"Gewenst toilet";0;"";"";"urinoir of vast toilet ";"";"GEWENST";"POINT(4.9146174,52.3562338)";"POINT(52.3562338,4.9146174)";4.9146174;52.3562338;
374;"Onzeker";0;"";"";"Er zou hier een urinoir zijn";"";"ONZEKER";"POINT(4.8890354,52.3687475)";"POINT(52.3687475,4.8890354)";4.8890354;52.3687475;
375;"Gewenst toilet";0;"di";"";"urinoir of krul";"";"GEWENST";"POINT(4.9791424,52.3167773)";"POINT(52.3167773,4.9791424)";4.9791424;52.3167773;
376;"Openbaar toilet (m/v)";0;"";"8.00 uur tot een half uur vóór zonsondergang. ";"MV toiletgebouw";"Amstelpark.JPG";"OPENBAAR";"POINT(4.8920762,52.3324316)";"POINT(52.3324316,4.8920762)";4.8920762;52.3324316;
377;"Amsterdamse krul (m), verdwenen";0;"di - do - ma - vr - wo - za - zo";"";"";"";"VERDWENEN";"POINT(4.9791746,52.3167773)";"POINT(52.3167773,4.9791746)";4.9791746;52.3167773;
